Rank,WCA ID,Name,Elo
276,2018HEAT02,David Heaton,1387
277,2023WELL04,Durham Lee Wells,1385
278,2021PRAS01,Amogh Prashanth,1383
279,2019LALP01,Prakhar Lal,1383
280,2019KRIS09,Vignesh Krishnakumar,1381
281,2022WIND03,Drew Windham,1380
282,2010ZHAO19,Eric Zhao,1380
283,2023JRET01,Ethan Seifried Jr.,1378
284,2019GALE02,Deacon Gale,1378
285,2018STAM01,Lucas Stambaugh,1378
286,2022BENN11,Annye Bennett,1376
287,2023DAVE06,Leo Davenport,1376
288,2017SAND15,Ben Sandlin,1376
289,2023SHUM01,Ho Pan Shum,1374
290,2020FLOR07,Alex Flores,1373
291,2016IVRO01,Robert Mapp IV,1370
292,2018KHUR07,Krish Khurana,1369
293,2023LUDW01,John Ludwick,1368
294,2023SLOA01,Luke Sloan,1366
295,2022GONZ30,Martin Hernandez Gonzalez,1366
296,2019PARS02,Heath Parsons,1366
297,2018KHAN27,Ibrahim Khanani,1366
298,2019TANK04,Aniket Tank,1364
299,2022WHIT16,Alaska Whitehead,1364
300,2022MAEL01,Elliot Yueshan Ma,1362
301,2023RIHA01,Taym Rihawi,1362
302,2023MAYL02,Liam Mayle,1361
303,2023RUSS03,John S. Russell III,1360
304,2022YOUN03,Carter Young,1358
305,2022CAUS02,Zion Causey,1358
306,2014AVER01,James Avery,1357
307,2022HITC02,Braden Hitchcox,1356
308,2014GREE02,Aussie Greene,1353
309,2018DEIN01,William Deinzer,1351
310,2012LANI01,Allen Lanier,1351
311,2022HUFF03,Quintan Anthony Huffman,1350
312,2023CHOJ02,Joshua Cho,1348
313,2022LINE03,Enson Lin,1345
314,2022ROSS18,Alexander Rossi,1344
315,2022ROGE07,Samuel Rogers,1344
316,2022KLAT03,Trenton Klaty,1343
317,2018ZIEL01,Gavin Zielke,1342
318,2024AREV03,Thomas Arevalo,1341
319,2023MCIN07,Oliver McIntire,1341
320,2014MARK03,Alexander Markoulis,1341
321,2022LEWI07,Jackson Lewis,1340
322,2017AMBR01,Vihaan Ambre,1339
323,2022FORR01,Fox Forrester,1339
324,2015JOIN01,Kyra Joiner,1338
325,2023WAGG02,Nathanael George Waggoner,1337
326,2017BUCH02,Brandon Buchalter,1331
327,2022ARAU04,Thomas Araujo,1330
328,2015OOIE01,Edison Ooi,1330
329,2021TIJE01,Gabby Tijerina,1330
330,2022ACHA04,Abhinav Acharyabhatta,1330
331,2023KAZE01,Ben Kazee,1329
332,2017JOHN22,Brian John,1329
333,2022PSZE01,Daniel Pszenny,1327
334,2018LESS01,Hayden Lesser,1326
335,2023LEVI02,Avery Levin,1325
336,2024VASQ06,Josue Vasquez,1324
337,2013GAWA01,Abhi Gawande,1324
338,2022TRAN28,Landon Tran,1322
339,2017PATT06,Tyler Patten,1321
340,2023BOLT05,Maddox Bolton,1320
341,2017KINM02,Caleb Kinman,1320
342,2023WILL20,Cameron Williamson,1319
343,2018MOSE03,Stephen Moseley,1319
344,2014BECK03,Joshua Beck,1319
345,2022SELF01,Oliver Self,1319
346,2023COTT01,Alik Cotton,1319
347,2016NASH01,Gabriel Nash,1318
348,2022WOLF02,Jasper Wolfe-Tham,1317
349,2022PHIL16,Makylah Phillips,1316
350,2022CRIB01,Zachary Cribb,1316
351,2024OREN02,Teddy Orendorff,1315
352,2023MARA16,Daniel Josue Maradiaga,1315
353,2023FLEM01,Jude Fleming,1314
354,2023MAND08,Reece Manders,1313
355,2018SZUS01,Eddie Szuster,1313
356,2023WEST26,Caleb West,1312
357,2023SILV07,Christopher Silva,1311
358,2023HARR37,Wyatt Harrison,1310
359,2017CULB01,Jonathan Culbertson,1310
360,2022JAIN02,Avi Jain,1310
361,2016YANG06,Andrew Yang,1310
362,2011FLAG01,Josh Flagg,1309
363,2015VEER01,Pranav Veera,1308
364,2016GUHA01,Ayan Guha,1308
365,2015FELD01,Noah Feld,1306
366,2018RICH05,Drake Denton Richard,1306
367,2022CONN11,Nathan Connor,1305
368,2023YUGE01,George Yu,1304
369,2018TOMK01,Dylan Tomko,1302
370,2023KOYA04,Keigo Koyama,1302
371,2018KEAR02,Caleb Kearney,1302
372,2011SAKO01,Corey Sakowski,1301
373,2023MOND01,Deuce Monds,1301
374,2022BAIE01,Johannes M. Baier,1301
375,2022WOLF03,Ethan Wolf,1299
376,2023NICH04,Jeffrey Nicholson,1299
377,2021SATT01,Eli Satterfield,1298
378,2023ADAM27,Sawyer Adams,1298
379,2022MAHE07,Arjun Mahesh,1297
380,2022VISH05,Shriyans Vishwakarma,1296
381,2016STEI04,Nicky Steingraber,1295
382,2017CUZI01,Trenton Cuzick,1295
383,2017KOJA01,Jandell Ryan Ko,1295
384,2023TROT01,Grant Trotter,1293
385,2013CABR01,Christopher Cabrera,1293
386,2018ACEB01,Lennon Acebal,1292
387,2024REED06,John Reed,1292
388,2022MEDI02,Judah von Meding,1291
389,2022LAKH01,Aamina Lakha,1291
390,2016AVER01,Thomas Avery,1290
391,2024FARL02,Josiah Farley,1289
392,2022MAGA01,Nicholas Magallanes,1289
393,2023CYRJ01,Jonah Cyr,1289
394,2017STAD01,Jonah Stadler,1287
395,2022PIKE02,Carter Pike,1285
396,2017DOVE01,Owen Dove,1284
397,2022KRAT02,Benjamin Kratochvil,1283
398,2023OWEN05,Aiden Benjamin Owens,1283
399,2018SULL01,Luke Sullivan,1282
400,2023TOLL01,Aiden Tolley,1281
401,2023CRAW01,Liam Crawford,1280
402,2017COOL02,Ethan Coolidge,1280
403,2022PLEA01,Andrew Pleasant,1279
404,2019DAHL02,Zack Dahlin,1279
405,2018WOLK01,Christopher Michael Wolk,1277
406,2019ISSA04,Abdelrahman Issa,1277
407,2020GROS01,Nolan Grosse,1276
408,2019MCDE02,Logan McDermott,1274
409,2018NIEU01,Lucas Nieuwland,1274
410,2023BLAI01,Ian Wayne Blair,1273
411,2015KIME01,Edward Kim,1272
412,2023RENY02,Yifei Ren,1272
413,2022CANC01,Collin Cancienne,1271
414,2022THOM13,Tristan Thompson,1270
415,2009HILD01,James Hildreth,1268
416,2015CLAU02,Carson Claud,1264
417,2023DICK09,Logan Cade Dickerson,1263
418,2023SUNS02,Shawn Sun,1261
419,2023KAUF01,Eli Kaufman,1260
420,2020KLEK01,Benjamin Klekamp,1259
421,2017KEEN04,Jacob Keener,1258
422,2023GLOV05,Ishmael Glover,1258
423,2018GANT01,Jack Vernon Gentile,1258
424,2018MARK06,Ian Markley,1257
425,2018MAKU02,Joshua T. Makuwa,1257
426,2023HAMI08,Jack Hamilton,1256
427,2017PASC05,Alex Paschal,1255
428,2022KOCH06,William Andrew Koch,1254
429,2023LEES15,Samuel Lee,1252
430,2022COXE01,Ethan William Cox,1252
431,2024CHEN23,Alec Cheng,1252
432,2016FRAG02,Louis Fragapane,1251
433,2016CHEN79,Owen Chen,1251
434,2023WANG24,Anthony Wang,1250
435,2022SMIT65,William Smith,1250
436,2023EDWA23,Dylan Mark Anderson Edwards,1250
437,2022YUBI01,Bill Yu,1250
438,2024VENG02,Marc Vengerovich,1250
439,2024WILS07,Isaiah Wilson,1249
440,2022KANN01,Tharun Kannan,1249
441,2013DICK01,Matthew Dickman,1249
442,2023WARD03,Benjamin Ward,1248
443,2021REYE02,Kevin Reyes-Velazquez,1247
444,2023KWON04,Thomas M. Kwon,1247
445,2023NOBL03,John Whitfield Noble,1247
446,2022MEHT01,Nicholas Dmitrieff Mehta,1245
447,2023VICC01,Maximiliano Vicci,1244
448,2022FORR02,Leon Luke Forrer,1242
449,2022SHAH03,Heerak Shah,1241
450,2024SCHL01,William Schlegel,1237
451,2023CHOI02,Collin Choi,1236
452,2018LAUT02,Jeremy Lauten,1236
453,2016BRIN04,Chris Van Der Brink,1235
454,2023DELG17,Daniel Enrique Martinez Delgado,1233
455,2023STRI06,Ryan Strickland,1233
456,2018LANC03,August Lancaster,1232
457,2019HENS03,Aaron Hensler,1232
458,2019SAVA02,Arjun Savanur,1231
459,2023CHAM04,Knox Chambers,1231
